Date,Open,High,Low,Close,Average
9/1/2008,0.8549,0.8553,0.7804,0.7946,0.8178
10/1/2008,0.7940,0.8018,0.6011,0.6657,0.7014
11/1/2008,0.6698,0.7014,0.6079,0.6546,0.6546
12/1/2008,0.6546,0.7136,0.6292,0.7059,0.6714
1/1/2009,0.6974,0.7268,0.6348,0.6352,0.6808
2/1/2009,0.6347,0.6848,0.6251,0.6393,0.6549
3/1/2009,0.6378,0.7092,0.6287,0.6913,0.6690
4/1/2009,0.6907,0.7383,0.6859,0.7252,0.7121
5/1/2009,0.7250,0.8012,0.7244,0.8007,0.7628
6/1/2009,0.8009,0.8263,0.7791,0.8057,0.8027
7/1/2009,0.8053,0.8365,0.7703,0.8361,0.8034
8/1/2009,0.8355,0.8477,0.8158,0.8435,0.8317
9/1/2009,0.8433,0.8846,0.8242,0.8837,0.8544
10/1/2009,0.8837,0.9327,0.8571,0.9001,0.8949
11/1/2009,0.8990,0.9405,0.8909,0.9156,0.9157
12/1/2009,0.9159,0.9321,0.8736,0.8974,0.9029
1/1/2010,0.8975,0.9329,0.8841,0.8841,0.9085
2/1/2010,0.8800,0.9070,0.8580,0.8960,0.8825
3/1/2010,0.8976,0.9251,0.8937,0.9170,0.9094
4/1/2010,0.9165,0.9385,0.9137,0.9249,0.9261
5/1/2010,0.9224,0.9274,0.8068,0.8471,0.8671
6/1/2010,0.8469,0.8858,0.8084,0.8395,0.8471
7/1/2010,0.8406,0.9068,0.8317,0.9044,0.8693
8/1/2010,0.9056,0.9221,0.8774,0.8920,0.8998
9/1/2010,0.8924,0.9733,0.8914,0.9657,0.9324
10/1/2010,0.9656,1.0002,0.9543,0.9798,0.9772
11/1/2010,0.9850,1.0182,0.9545,0.9590,0.9864
12/1/2010,0.9586,1.0256,0.9539,1.0233,0.9898
1/1/2011,1.0203,1.0223,0.9806,0.9969,1.0014
2/1/2011,0.9971,1.0199,0.9945,1.0183,1.0072
3/1/2011,1.0181,1.0372,0.9710,1.0332,1.0041
4/1/2011,1.0330,1.0976,1.0290,1.0966,1.0633
5/1/2011,1.0953,1.1011,1.0442,1.0657,1.0726
6/1/2011,1.0656,1.0774,1.0392,1.0713,1.0583
7/1/2011,1.0707,1.1079,1.0527,1.0985,1.0803
8/1/2011,1.0999,1.1064,0.9930,1.0683,1.0497
9/1/2011,1.0686,1.0764,0.9624,0.9678,1.0194
10/1/2011,0.9661,1.0752,0.9389,1.0539,1.0070
11/1/2011,1.0541,1.0566,0.9665,1.0278,1.0115
12/1/2011,1.0277,1.0379,0.9863,1.0215,1.0121
1/1/2012,1.0229,1.0687,1.0147,1.0615,1.0417
2/1/2012,1.0617,1.0855,1.0571,1.0730,1.0713
3/1/2012,1.0729,1.0816,1.0306,1.0343,1.0561
4/1/2012,1.0434,1.0473,1.0228,1.0426,1.0350
5/1/2012,1.0427,1.0429,0.9675,0.9725,1.0052
6/1/2012,0.9727,1.0256,0.9598,1.0242,0.9927
7/1/2012,1.0235,1.0537,1.0102,1.0489,1.0319
8/1/2012,1.0493,1.0612,1.0278,1.0317,1.0445
9/1/2012,1.0274,1.0624,1.0168,1.0378,1.0396
10/1/2012,1.0366,1.0410,1.0151,1.0374,1.0280
11/1/2012,1.0374,1.0489,1.0289,1.0426,1.0389
12/1/2012,1.0435,1.0584,1.0347,1.0392,1.0465
1/1/2013,1.0470,1.0597,1.0381,1.0426,1.0489
2/1/2013,1.0424,1.0457,1.0185,1.0215,1.0321
3/1/2013,1.0213,1.0496,1.0117,1.0416,1.0306
4/1/2013,1.0405,1.0581,1.0222,1.0366,1.0402
5/1/2013,1.0365,1.0381,0.9529,0.9570,0.9955
6/1/2013,0.9622,0.9791,0.9115,0.9132,0.9453
7/1/2013,0.9136,0.9317,0.8928,0.8949,0.9123
8/1/2013,0.8944,0.9232,0.8849,0.8901,0.9041
9/1/2013,0.8935,0.9527,0.8927,0.9325,0.9227
10/1/2013,0.9322,0.9757,0.9291,0.9457,0.9524
11/1/2013,0.9459,0.9542,0.9057,0.9107,0.9300
12/1/2013,0.9127,0.9167,0.8823,0.8927,0.8995
1/1/2014,0.8913,0.9085,0.8661,0.8750,0.8873
2/1/2014,0.8765,0.9080,0.8731,0.8930,0.8906
3/1/2014,0.8893,0.9294,0.8892,0.9269,0.9093
4/1/2014,0.9265,0.9460,0.9207,0.9281,0.9334
5/1/2014,0.9285,0.9408,0.9204,0.9311,0.9306
6/1/2014,0.9306,0.9444,0.9231,0.9430,0.9338
7/1/2014,0.9430,0.9504,0.9281,0.9295,0.9392
8/1/2014,0.9294,0.9373,0.9239,0.9332,0.9306
9/1/2014,0.9324,0.9401,0.8685,0.8747,0.9043
10/1/2014,0.8746,0.8910,0.8644,0.8794,0.8777
11/1/2014,0.8750,0.8795,0.8481,0.8509,0.8638
12/1/2014,0.8466,0.8541,0.8089,0.8160,0.8315
1/1/2015,0.8128,0.8295,0.7720,0.7769,0.8008
2/1/2015,0.7752,0.7913,0.7627,0.7813,0.7770
3/1/2015,0.7807,0.7938,0.7561,0.7613,0.7749
4/1/2015,0.7611,0.8075,0.7533,0.7902,0.7804
5/1/2015,0.7902,0.8163,0.7618,0.7640,0.7891
6/1/2015,0.7635,0.7849,0.7588,0.7703,0.7718
7/1/2015,0.7703,0.7739,0.7257,0.7307,0.7498
